period,minutes_remaining,seconds_remaining,action_type,shot_zone_basic,shot_zone_area,shot_zone_range,shot_distance,loc_x,loc_y,shot_made_flag,game_date,season,playoffs,score,opponent
3,1,17,Layup Shot,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,0,19961126,1996-97,0,0,PHI
3,0,15,Jump Shot,Mid-Range,Left Side Center(LC),16-24 ft.,22,-77,216,1,19961126,1996-97,0,3,PHI
4,10,10,Jump Shot,Mid-Range,Left Side Center(LC),16-24 ft.,23,-92,214,1,19961126,1996-97,0,3,PHI
4,8,21,Dunk Shot,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,19961126,1996-97,0,2,PHI
4,6,45,Jump Shot,Mid-Range,Left Side(L),16-24 ft.,16,-153,52,1,19961126,1996-97,0,2,PHI
4,6,7,Jump Shot,Above the Break 3,Right Side Center(RC),24+ ft.,23,131,199,0,19961126,1996-97,0,0,PHI
4,4,44,Layup Shot,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,0,19961126,1996-97,0,0,PHI
2,6,51,Layup Shot,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,0,19961127,1996-97,0,0,BOS
2,5,31,Layup Shot,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,19961127,1996-97,0,2,BOS
3,5,11,Jump Shot,Mid-Range,Left Side(L),16-24 ft.,17,-170,-22,0,19961127,1996-97,0,0,BOS
3,1,19,Jump Shot,Above the Break 3,Left Side Center(LC),24+ ft.,23,-190,145,0,19961127,1996-97,0,0,BOS
3,0,9,Jump Shot,Right Corner 3,Right Side(R),24+ ft.,23,233,2,0,19961127,1996-97,0,0,BOS
4,0,59,Layup Shot,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,0,19961127,1996-97,0,0,BOS
4,0,31,Jump Shot,Mid-Range,Right Side Center(RC),16-24 ft.,23,127,199,0,19961127,1996-97,0,0,BOS
2,3,51,Layup Shot,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,0,19961129,1996-97,0,0,DET
2,4,37,Driving Dunk Shot,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,19961201,1996-97,0,2,DEN
2,3,32,Jump Shot,Mid-Range,Right Side(R),8-16 ft.,11,118,-20,0,19961201,1996-97,0,0,DEN
3,0,1,Jump Shot,Mid-Range,Right Side Center(RC),16-24 ft.,16,123,110,0,19961204,1996-97,0,0,UTA
4,9,49,Layup Shot,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,0,19961204,1996-97,0,0,UTA
4,8,47,Layup Shot,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,0,19961204,1996-97,0,0,UTA
4,7,11,Jump Shot,In The Paint (Non-RA),Center(C),8-16 ft.,14,29,138,0,19961204,1996-97,0,0,UTA
4,5,24,Dunk Shot,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,19961204,1996-97,0,2,UTA
4,2,13,Driving Layup Shot,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,19961204,1996-97,0,2,UTA
2,8,56,Layup Shot,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,19961208,1996-97,0,2,MIN
2,0,40,Slam Dunk Shot,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,19961208,1996-97,0,2,MIN
4,10,57,Jump Shot,Mid-Range,Left Side(L),16-24 ft.,16,-164,-14,0,19961208,1996-97,0,0,MIN
4,8,18,Jump Shot,Above the Break 3,Left Side Center(LC),24+ ft.,24,-140,199,0,19961208,1996-97,0,0,MIN
4,7,54,Jump Shot,Above the Break 3,Left Side Center(LC),24+ ft.,24,-181,162,0,19961208,1996-97,0,0,MIN
4,5,45,Layup Shot,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,0,19961208,1996-97,0,0,MIN
4,5,22,Jump Shot,Mid-Range,Left Side(L),16-24 ft.,22,-190,129,0,19961208,1996-97,0,0,MIN
4,4,1,Driving Layup Shot,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,0,19961208,1996-97,0,0,MIN
4,3,37,Layup Shot,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,0,19961208,1996-97,0,0,MIN
4,1,7,Layup Shot,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,19961208,1996-97,0,2,MIN
2,6,20,Jump Shot,Mid-Range,Right Side Center(RC),16-24 ft.,23,133,190,0,19961210,1996-97,0,0,SAC
2,7,23,Jump Shot,Mid-Range,Right Side Center(RC),16-24 ft.,23,175,158,1,19961217,1996-97,0,3,CHI
2,6,11,Jump Shot,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,40,69,0,19961217,1996-97,0,0,CHI
2,6,3,Layup Shot,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,19961217,1996-97,0,2,CHI
2,2,56,Jump Shot,Mid-Range,Left Side(L),16-24 ft.,18,-153,106,0,19961217,1996-97,0,0,CHI
5,0,26,Jump Shot,Above the Break 3,Center(C),24+ ft.,24,6,246,0,19961217,1996-97,0,0,CHI
1,3,3,Jump Shot,Left Corner 3,Left Side(L),24+ ft.,23,-233,13,1,19961221,1996-97,0,3,MIN
2,10,23,Jump Shot,Mid-Range,Left Side(L),16-24 ft.,19,-177,71,1,19961221,1996-97,0,2,MIN
2,8,47,Jump Shot,Mid-Range,Right Side Center(RC),16-24 ft.,22,146,177,0,19961221,1996-97,0,0,MIN
1,3,22,Jump Shot,Mid-Range,Right Side Center(RC),16-24 ft.,22,168,145,0,19961225,1996-97,0,0,PHX
4,0,51,Layup Shot,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,0,19961225,1996-97,0,0,PHX
4,4,25,Layup Shot,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,0,19961229,1996-97,0,0,PHI
2,11,23,Running Jump Shot,In The Paint (Non-RA),Center(C),8-16 ft.,13,53,127,1,19970102,1996-97,0,2,SAC
2,10,47,Jump Shot,Mid-Range,Left Side Center(LC),16-24 ft.,23,-177,155,0,19970102,1996-97,0,0,SAC
2,5,16,Driving Layup Shot,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,19970102,1996-97,0,2,SAC
2,6,37,Layup Shot,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,19970103,1996-97,0,2,SAC
2,5,41,Running Jump Shot,Mid-Range,Right Side(R),8-16 ft.,14,140,13,1,19970103,1996-97,0,2,SAC
2,4,4,Jump Shot,Above the Break 3,Left Side Center(LC),24+ ft.,24,-116,212,0,19970103,1996-97,0,0,SAC
2,3,46,Slam Dunk Shot,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,19970103,1996-97,0,2,SAC
3,2,18,Driving Layup Shot,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,19970103,1996-97,0,2,SAC
3,1,16,Jump Shot,Above the Break 3,Left Side Center(LC),24+ ft.,25,-144,210,0,19970103,1996-97,0,0,SAC
4,10,59,Jump Shot,Mid-Range,Left Side(L),8-16 ft.,13,-131,10,0,19970103,1996-97,0,0,SAC
4,9,9,Slam Dunk Shot,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,19970103,1996-97,0,2,SAC
4,1,33,Layup Shot,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,19970103,1996-97,0,2,SAC
4,0,47,Layup Shot,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,0,19970103,1996-97,0,0,SAC
1,4,28,Driving Layup Shot,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,19970105,1996-97,0,2,VAN
2,10,15,Jump Shot,Mid-Range,Right Side(R),16-24 ft.,19,181,71,0,19970105,1996-97,0,0,VAN
2,10,11,Dunk Shot,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,19970105,1996-97,0,2,VAN
2,9,45,Jump Shot,Mid-Range,Left Side(L),8-16 ft.,15,-140,56,1,19970105,1996-97,0,2,VAN
2,8,59,Tip Shot,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,0,19970105,1996-97,0,0,VAN
2,0,35,Jump Shot,Above the Break 3,Right Side Center(RC),24+ ft.,23,179,158,1,19970105,1996-97,0,3,VAN
3,6,31,Layup Shot,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,19970105,1996-97,0,2,VAN
3,0,56,Tip Shot,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,0,19970105,1996-97,0,0,VAN
3,0,56,Layup Shot,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,19970105,1996-97,0,2,VAN
1,0,6,Driving Layup Shot,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,0,19970106,1996-97,0,0,POR
1,0,2,Jump Shot,Mid-Range,Left Side(L),8-16 ft.,8,-88,-1,1,19970106,1996-97,0,2,POR
2,10,41,Jump Shot,Mid-Range,Left Side(L),8-16 ft.,15,-146,43,0,19970106,1996-97,0,0,POR
2,0,0,Jump Shot,Mid-Range,Right Side Center(RC),16-24 ft.,22,120,188,0,19970106,1996-97,0,0,POR
3,4,18,Driving Layup Shot,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,0,19970106,1996-97,0,0,POR
4,10,52,Jump Shot,Mid-Range,Left Side Center(LC),16-24 ft.,22,-135,179,1,19970106,1996-97,0,3,POR
4,8,29,Jump Shot,Mid-Range,Right Side(R),8-16 ft.,15,155,-1,0,19970106,1996-97,0,0,POR
4,7,0,Layup Shot,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,19970106,1996-97,0,2,POR
4,5,48,Jump Shot,Mid-Range,Left Side Center(LC),16-24 ft.,22,-125,186,0,19970106,1996-97,0,0,POR
2,8,3,Jump Shot,Restricted Area,Center(C),Less Than 8 ft.,2,19,8,0,19970108,1996-97,0,0,CHH
2,6,8,Jump Shot,Mid-Range,Right Side Center(RC),16-24 ft.,22,107,201,0,19970108,1996-97,0,0,CHH
2,2,29,Driving Layup Shot,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,19970108,1996-97,0,2,CHH
2,1,27,Jump Shot,Mid-Range,Right Side(R),8-16 ft.,14,140,6,0,19970108,1996-97,0,0,CHH
2,0,9,Driving Layup Shot,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,19970108,1996-97,0,2,CHH
3,0,0,Tip Shot,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,0,19970108,1996-97,0,0,CHH
4,11,37,Jump Shot,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-14,67,0,19970108,1996-97,0,0,CHH
4,10,44,Layup Shot,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,19970108,1996-97,0,2,CHH
4,9,50,Layup Shot,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,0,19970108,1996-97,0,0,CHH
4,9,3,Slam Dunk Shot,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,19970108,1996-97,0,2,CHH
4,6,34,Jump Shot,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,73,19,0,19970108,1996-97,0,0,CHH
4,5,23,Jump Shot,Mid-Range,Left Side(L),16-24 ft.,23,-211,95,0,19970108,1996-97,0,0,CHH
4,4,53,Jump Shot,Mid-Range,Right Side(R),8-16 ft.,8,88,-12,0,19970108,1996-97,0,0,CHH
1,3,33,Running Jump Shot,In The Paint (Non-RA),Right Side(R),8-16 ft.,8,47,69,1,19970110,1996-97,0,2,MIA
1,1,10,Jump Shot,Mid-Range,Right Side(R),16-24 ft.,16,166,2,0,19970110,1996-97,0,0,MIA
4,0,8,Jump Shot,Above the Break 3,Left Side Center(LC),24+ ft.,24,-174,173,0,19970110,1996-97,0,0,MIA
1,0,0,Jump Shot,Above the Break 3,Right Side Center(RC),24+ ft.,32,133,294,0,19970114,1996-97,0,0,VAN
2,11,17,Layup Shot,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,0,19970114,1996-97,0,0,VAN
2,10,36,Layup Shot,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,0,19970114,1996-97,0,0,VAN
2,10,21,Jump Shot,Mid-Range,Right Side Center(RC),16-24 ft.,16,125,108,0,19970114,1996-97,0,0,VAN
2,9,47,Driving Layup Shot,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,19970114,1996-97,0,2,VAN
4,0,0,Jump Shot,Above the Break 3,Right Side Center(RC),24+ ft.,25,120,229,0,19970114,1996-97,0,0,VAN
1,0,28,Layup Shot,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,0,19970118,1996-97,0,0,DET
2,11,50,Driving Layup Shot,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,19970118,1996-97,0,2,DET
2,11,14,Jump Shot,Above the Break 3,Left Side Center(LC),24+ ft.,25,-155,201,1,19970118,1996-97,0,3,DET
2,8,36,Jump Shot,Above the Break 3,Center(C),24+ ft.,26,-55,255,1,19970118,1996-97,0,3,DET
2,6,48,Jump Shot,Mid-Range,Left Side(L),8-16 ft.,8,-83,0,1,19970118,1996-97,0,2,DET
2,3,30,Jump Shot,Mid-Range,Right Side Center(RC),16-24 ft.,23,127,199,0,19970118,1996-97,0,0,DET
2,0,3,Jump Shot,Mid-Range,Left Side Center(LC),16-24 ft.,16,-131,108,0,19970118,1996-97,0,0,DET
4,8,49,Running Jump Shot,In The Paint (Non-RA),Center(C),8-16 ft.,8,-5,82,1,19970118,1996-97,0,2,DET
4,8,16,Jump Shot,Mid-Range,Left Side Center(LC),16-24 ft.,16,-127,106,1,19970118,1996-97,0,2,DET
4,6,48,Slam Dunk Shot,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,19970118,1996-97,0,2,DET
4,6,7,Jump Shot,Mid-Range,Right Side Center(RC),16-24 ft.,23,110,207,1,19970118,1996-97,0,3,DET
6,4,14,Jump Shot,Above the Break 3,Left Side Center(LC),24+ ft.,27,-109,249,0,19970118,1996-97,0,0,DET
6,1,12,Jump Shot,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-23,54,0,19970118,1996-97,0,0,DET
1,0,0,Jump Shot,Mid-Range,Right Side(R),8-16 ft.,12,105,73,0,19970120,1996-97,0,0,DAL
2,10,8,Layup Shot,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,0,19970120,1996-97,0,0,DAL
2,9,18,Driving Layup Shot,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,19970120,1996-97,0,2,DAL
2,7,27,Layup Shot,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,0,19970120,1996-97,0,0,DAL
3,1,19,Slam Dunk Shot,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,19970120,1996-97,0,2,DAL
3,0,19,Running Jump Shot,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,49,60,1,19970120,1996-97,0,2,DAL
4,11,39,Layup Shot,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,0,19970120,1996-97,0,0,DAL
2,10,52,Jump Shot,Above the Break 3,Left Side Center(LC),24+ ft.,24,-172,175,1,19970124,1996-97,0,3,GSW
2,9,17,Jump Shot,Mid-Range,Right Side Center(RC),16-24 ft.,23,123,199,0,19970124,1996-97,0,0,GSW
3,11,11,Jump Shot,Above the Break 3,Left Side Center(LC),24+ ft.,23,-168,171,0,19970124,1996-97,0,0,GSW
3,5,35,Jump Shot,Above the Break 3,Left Side Center(LC),24+ ft.,24,-198,136,0,19970124,1996-97,0,0,GSW
4,2,32,Layup Shot,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,19970124,1996-97,0,2,GSW
4,1,59,Jump Shot,In The Paint (Non-RA),Center(C),8-16 ft.,11,-49,108,1,19970124,1996-97,0,2,GSW
4,1,21,Layup Shot,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,0,19970124,1996-97,0,0,GSW
4,0,45,Jump Shot,Mid-Range,Right Side Center(RC),16-24 ft.,18,97,162,1,19970124,1996-97,0,2,GSW
2,8,51,Jump Shot,Mid-Range,Left Side Center(LC),16-24 ft.,23,-133,192,1,19970126,1996-97,0,3,SEA
2,8,15,Jump Shot,Mid-Range,Right Side Center(RC),16-24 ft.,18,136,125,1,19970126,1996-97,0,2,SEA
4,11,45,Jump Shot,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-38,36,0,19970126,1996-97,0,0,SEA
4,1,22,Running Jump Shot,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,42,23,1,19970126,1996-97,0,2,SEA
4,0,22,Layup Shot,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,0,19970126,1996-97,0,0,SEA
4,0,2,Layup Shot,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,0,19970126,1996-97,0,0,SEA
1,11,42,Layup Shot,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,0,19970128,1996-97,0,0,DAL
1,8,46,Driving Layup Shot,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,19970128,1996-97,0,2,DAL
1,7,5,Jump Shot,Mid-Range,Left Side Center(LC),16-24 ft.,23,-172,162,0,19970128,1996-97,0,0,DAL
2,6,18,Driving Layup Shot,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,19970128,1996-97,0,2,DAL
2,1,4,Jump Shot,Mid-Range,Center(C),16-24 ft.,22,-14,229,0,19970128,1996-97,0,0,DAL
2,0,1,Jump Shot,Mid-Range,Right Side(R),16-24 ft.,17,155,90,0,19970128,1996-97,0,0,DAL
3,7,18,Jump Shot,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-34,65,0,19970128,1996-97,0,0,DAL
3,4,17,Driving Layup Shot,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,19970128,1996-97,0,2,DAL
4,3,18,Jump Shot,Mid-Range,Left Side(L),8-16 ft.,15,-101,121,1,19970128,1996-97,0,2,DAL
4,2,4,Jump Shot,Mid-Range,Right Side Center(RC),16-24 ft.,17,116,125,1,19970128,1996-97,0,2,DAL
4,0,12,Jump Shot,Above the Break 3,Left Side Center(LC),24+ ft.,24,-159,184,0,19970128,1996-97,0,0,DAL
1,10,41,Jump Shot,Mid-Range,Right Side(R),8-16 ft.,14,97,110,0,19970129,1996-97,0,0,SAS
1,4,52,Layup Shot,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,19970129,1996-97,0,2,SAS
2,4,0,Jump Shot,Above the Break 3,Right Side Center(RC),24+ ft.,24,205,129,0,19970129,1996-97,0,0,SAS
2,2,23,Jump Shot,Left Corner 3,Left Side(L),24+ ft.,23,-229,67,1,19970129,1996-97,0,3,SAS
2,1,18,Jump Shot,Mid-Range,Left Side Center(LC),16-24 ft.,23,-122,203,0,19970129,1996-97,0,0,SAS
3,11,5,Jump Shot,Mid-Range,Left Side(L),16-24 ft.,22,-194,123,0,19970129,1996-97,0,0,SAS
3,9,9,Layup Shot,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,19970129,1996-97,0,2,SAS
3,7,22,Layup Shot,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,0,19970129,1996-97,0,0,SAS
3,6,0,Layup Shot,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,19970129,1996-97,0,2,SAS
4,6,54,Jump Shot,Mid-Range,Left Side Center(LC),16-24 ft.,23,-127,197,1,19970129,1996-97,0,3,SAS
4,3,7,Jump Shot,Mid-Range,Left Side Center(LC),16-24 ft.,23,-155,171,1,19970129,1996-97,0,3,SAS
4,1,38,Jump Shot,Mid-Range,Right Side Center(RC),16-24 ft.,23,170,155,0,19970129,1996-97,0,0,SAS
2,11,5,Layup Shot,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,0,19970202,1996-97,0,0,WAS
2,10,17,Jump Shot,Mid-Range,Left Side(L),8-16 ft.,15,-122,103,1,19970202,1996-97,0,2,WAS
2,9,10,Jump Shot,Mid-Range,Right Side(R),8-16 ft.,15,123,88,0,19970202,1996-97,0,0,WAS
2,6,35,Jump Shot,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,68,10,0,19970202,1996-97,0,0,WAS
2,2,3,Jump Shot,Mid-Range,Left Side(L),8-16 ft.,12,-120,-9,0,19970202,1996-97,0,0,WAS
4,11,36,Jump Shot,Mid-Range,Left Side(L),16-24 ft.,16,-161,21,1,19970202,1996-97,0,2,WAS
4,4,27,Driving Layup Shot,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,0,19970202,1996-97,0,0,WAS
4,0,56,Jump Shot,Above the Break 3,Right Side Center(RC),24+ ft.,24,116,220,0,19970202,1996-97,0,0,WAS
4,0,34,Driving Layup Shot,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,0,19970202,1996-97,0,0,WAS
2,9,56,Jump Shot,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,29,73,0,19970204,1996-97,0,0,LAC
2,8,31,Running Jump Shot,Mid-Range,Right Side(R),8-16 ft.,8,81,8,1,19970204,1996-97,0,2,LAC
3,5,46,Layup Shot,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,0,19970204,1996-97,0,0,LAC
3,5,14,Jump Shot,Above the Break 3,Left Side Center(LC),24+ ft.,24,-179,160,0,19970204,1996-97,0,0,LAC
3,0,53,Driving Layup Shot,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,0,19970204,1996-97,0,0,LAC
4,10,27,Jump Shot,In The Paint (Non-RA),Right Side(R),8-16 ft.,14,79,116,0,19970204,1996-97,0,0,LAC
4,3,49,Jump Shot,In The Paint (Non-RA),Left Side(L),8-16 ft.,11,-68,88,0,19970204,1996-97,0,0,LAC
4,3,46,Layup Shot,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,0,19970204,1996-97,0,0,LAC
4,3,39,Layup Shot,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,19970204,1996-97,0,2,LAC
4,3,16,Jump Shot,Above the Break 3,Left Side Center(LC),24+ ft.,24,-170,175,0,19970204,1996-97,0,0,LAC
1,0,0,Layup Shot,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,19970205,1996-97,0,2,CHI
2,9,9,Jump Shot,Mid-Range,Right Side Center(RC),16-24 ft.,23,151,179,1,19970205,1996-97,0,3,CHI
2,7,47,Tip Shot,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,0,19970205,1996-97,0,0,CHI
2,6,14,Jump Shot,Above the Break 3,Center(C),24+ ft.,24,64,236,0,19970205,1996-97,0,0,CHI
4,11,27,Jump Shot,Mid-Range,Center(C),16-24 ft.,18,-47,179,0,19970205,1996-97,0,0,CHI
